"orden","departamento","municipio","Fecha","a_o","mes","dia","1era Dosis","2da Dosis","Total aplicada","ASTRAZENECA","PFIZER","SINOVAC","ASTRAZENECA 1era Dosis","PFIZER  1era Dosis","SINOVAC 1era Dosis","ASTRAZENECA 2da Dosis","PFIZER 2da Dosis","SINOVAC 2da Dosis","janssen","moderna","moderna_1era_dosis","moderna_2da_dosis","astrazeneca_refuerzo","pfizer_refuerzo","sinovac_refuerzo","janssen_refuerzo","moderna_refuerzo"
"1","SANTANDER","BUCARAMANGA","2021-02-18T00:00:00.000","febrero","2021","jueves","184","1","185","7","136","0","7","135","0","0","1","0","0","42","42","0","0","0","0","0","0"
"2","SANTANDER","BUCARAMANGA","2021-02-19T00:00:00.000","febrero","2021","viernes","447","0","447","8","367","0","8","367","0","0","0","0","0","72","72","0","0","0","0","0","0"
"3","SANTANDER","BUCARAMANGA","2021-02-20T00:00:00.000","febrero","2021","sábado","319","4","323","8","245","2","8","243","2","0","2","0","0","68","66","2","0","0","0","0","0"
"4","SANTANDER","BUCARAMANGA","2021-02-21T00:00:00.000","febrero","2021","domingo","381","0","381","9","289","0","9","289","0","0","0","0","0","83","83","0","0","2","1","0","0"
"5","SANTANDER","BUCARAMANGA","2021-02-22T00:00:00.000","febrero","2021","lunes","371","0","371","12","248","1","12","248","1","0","0","0","0","110","110","0","0","0","0","0","0"
"6","SANTANDER","BUCARAMANGA","2021-02-23T00:00:00.000","febrero","2021","martes","21","0","21","1","15","1","1","15","1","0","0","0","0","4","4","0","0","0","0","0","0"
"7","SANTANDER","BUCARAMANGA","2021-02-24T00:00:00.000","febrero","2021","miércoles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"8","SANTANDER","BUCARAMANGA","2021-02-25T00:00:00.000","febrero","2021","jueves","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","SANTANDER","BUCARAMANGA","2021-02-26T00:00:00.000","febrero","2021","viernes","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"10","SANTANDER","BUCARAMANGA","2021-02-27T00:00:00.000","febrero","2021","sábado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","SANTANDER","BUCARAMANGA","2021-02-28T00:00:00.000","febrero","2021","domingo","85","0","85","0","0","85","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0"
"12","SANTANDER","BUCARAMANGA","2021-03-01T00:00:00.000","marzo","2021","lunes","436","0","436","12","325","19","12","325","19","0","0","0","0","80","80","0","0","0","0","0","0"
"13","SANTANDER","BUCARAMANGA","2021-03-02T00:00:00.000","marzo","2021","martes","869","3","872","23","603","96","23","602","96","0","1","0","0","150","148","2","0","0","0","0","0"
"14","SANTANDER","BUCARAMANGA","2021-03-03T00:00:00.000","marzo","2021","miércoles","653","0","653","18","347","122","18","347","122","0","0","0","2","166","166","0","0","0","0","0","0"
"15","SANTANDER","BUCARAMANGA","2021-03-04T00:00:00.000","marzo","2021","jueves","398","0","398","13","150","151","13","150","151","0","0","0","0","84","84","0","0","0","0","0","0"
"16","SANTANDER","BUCARAMANGA","2021-03-05T00:00:00.000","marzo","2021","viernes","1008","0","1008","24","525","282","24","525","282","0","0","0","0","177","177","0","0","0","0","0","0"
"17","SANTANDER","BUCARAMANGA","2021-03-06T00:00:00.000","marzo","2021","sábado","963","0","963","24","753","43","24","753","43","0","0","0","0","143","143","0","0","0","0","0","0"
"18","SANTANDER","BUCARAMANGA","2021-03-07T00:00:00.000","marzo","2021","domingo","687","0","687","30","498","35","30","498","35","0","0","0","0","124","124","0","0","0","0","0","0"
"19","SANTANDER","BUCARAMANGA","2021-03-08T00:00:00.000","marzo","2021","lunes","625","0","625","21","367","89","21","367","89","0","0","0","1","148","148","0","0","0","0","0","0"
"20","SANTANDER","BUCARAMANGA","2021-03-09T00:00:00.000","marzo","2021","martes","996","1","997","47","493","247","47","492","247","0","1","0","2","210","210","0","0","0","0","0","0"
"21","SANTANDER","BUCARAMANGA","2021-03-10T00:00:00.000","marzo","2021","miércoles","1891","0","1891","44","447","1211","44","447","1211","0","0","0","0","189","189","0","0","0","0","0","0"
"22","SANTANDER","BUCARAMANGA","2021-03-11T00:00:00.000","marzo","2021","jueves","2097","161","2258","74","524","1416","67","408","1416","7","116","0","0","244","206","38","0","0","0","0","0"
"23","SANTANDER","BUCARAMANGA","2021-03-12T00:00:00.000","marzo","2021","viernes","2373","449","2822","67","739","1696","58","376","1695","9","363","1","1","320","244","76","0","0","0","0","0"
"24","SANTANDER","BUCARAMANGA","2021-03-13T00:00:00.000","marzo","2021","sábado","1786","299","2085","61","376","1435","53","150","1435","8","226","0","0","213","148","65","0","0","0","0","0"
"25","SANTANDER","BUCARAMANGA","2021-03-14T00:00:00.000","marzo","2021","domingo","1058","366","1424","37","343","878","27","67","878","10","276","0","0","166","86","80","0","0","0","0","0"
"26","SANTANDER","BUCARAMANGA","2021-03-15T00:00:00.000","marzo","2021","lunes","1302","381","1683","45","294","1130","34","39","1130","11","255","0","0","214","99","115","0","0","0","0","0"
"27","SANTANDER","BUCARAMANGA","2021-03-16T00:00:00.000","marzo","2021","martes","1118","25","1143","29","69","927","27","51","927","2","18","0","1","118","113","5","0","0","0","0","0"
"28","SANTANDER","BUCARAMANGA","2021-03-17T00:00:00.000","marzo","2021","miércoles","1062","4","1066","39","64","849","39","63","849","0","1","0","0","114","111","3","0","0","0","0","0"
"29","SANTANDER","BUCARAMANGA","2021-03-18T00:00:00.000","marzo","2021","jueves","920","0","920","38","40","778","38","40","778","0","0","0","0","64","64","0","0","0","0","0","0"
"30","SANTANDER","BUCARAMANGA","2021-03-19T00:00:00.000","marzo","2021","viernes","1466","0","1466","37","254","986","37","254","986","0","0","0","0","189","189","0","0","0","0","0","0"
"31","SANTANDER","BUCARAMANGA","2021-03-20T00:00:00.000","marzo","2021","sábado","1816","5","1821","52","642","857","52","642","852","0","0","5","1","270","270","0","0","0","0","0","0"
"32","SANTANDER","BUCARAMANGA","2021-03-21T00:00:00.000","marzo","2021","domingo","856","1","857","39","286","424","39","285","424","0","1","0","0","108","108","0","0","0","0","0","0"
"33","SANTANDER","BUCARAMANGA","2021-03-22T00:00:00.000","marzo","2021","lunes","864","383","1247","42","502","512","31","207","512","11","295","0","0","191","114","77","0","0","0","0","0"
"34","SANTANDER","BUCARAMANGA","2021-03-23T00:00:00.000","marzo","2021","martes","1654","774","2428","86","972","1042","62","371","1041","24","601","1","0","328","180","148","0","0","0","0","0"
"35","SANTANDER","BUCARAMANGA","2021-03-24T00:00:00.000","marzo","2021","miércoles","1150","514","1664","44","455","880","27","120","880","17","335","0","1","285","123","162","0","0","0","0","0"
"36","SANTANDER","BUCARAMANGA","2021-03-25T00:00:00.000","marzo","2021","jueves","993","210","1203","26","188","784","21","40","783","5","148","1","0","205","149","56","0","0","0","0","0"
"37","SANTANDER","BUCARAMANGA","2021-03-26T00:00:00.000","marzo","2021","viernes","1386","622","2008","53","590","1028","31","142","1028","22","448","0","1","337","185","152","0","0","0","0","0"
"38","SANTANDER","BUCARAMANGA","2021-03-27T00:00:00.000","marzo","2021","sábado","1737","900","2637","75","1364","704","50","624","704","25","740","0","0","494","359","135","0","0","0","0","0"
"39","SANTANDER","BUCARAMANGA","2021-03-28T00:00:00.000","marzo","2021","domingo","1987","729","2716","73","1059","1040","46","566","955","27","493","85","1","544","420","124","0","0","0","0","0"
"40","SANTANDER","BUCARAMANGA","2021-03-29T00:00:00.000","marzo","2021","lunes","3380","552","3932","118","828","2255","97","464","2235","21","364","20","0","731","584","147","0","0","0","0","0"
"41","SANTANDER","BUCARAMANGA","2021-03-30T00:00:00.000","marzo","2021","martes","3066","757","3823","135","729","2279","92","279","2191","43","450","88","3","680","504","176","0","0","0","0","0"
"42","SANTANDER","BUCARAMANGA","2021-03-31T00:00:00.000","marzo","2021","miércoles","2551","581","3132","103","552","2003","91","171","1901","12","381","102","0","474","388","86","0","0","0","0","0"
"43","SANTANDER","BUCARAMANGA","2021-04-01T00:00:00.000","abril","2021","jueves","995","585","1580","59","347","923","32","32","777","27","315","146","2","251","154","97","0","0","0","0","0"
"44","SANTANDER","BUCARAMANGA","2021-04-02T00:00:00.000","abril","2021","viernes","681","625","1306","53","361","651","32","103","415","21","258","236","0","241","131","110","0","0","0","0","0"
"45","SANTANDER","BUCARAMANGA","2021-04-03T00:00:00.000","abril","2021","sábado","919","86","1005","32","70","740","32","40","693","0","30","47","0","163","154","9","0","0","0","0","0"
"46","SANTANDER","BUCARAMANGA","2021-04-04T00:00:00.000","abril","2021","domingo","461","36","497","35","19","379","34","16","347","1","3","32","0","64","64","0","0","0","0","0","0"
"47","SANTANDER","BUCARAMANGA","2021-04-05T00:00:00.000","abril","2021","lunes","1073","71","1144","231","34","749","230","26","691","1","8","58","0","130","126","4","0","0","0","0","0"
"48","SANTANDER","BUCARAMANGA","2021-04-06T00:00:00.000","abril","2021","martes","866","240","1106","191","43","766","184","25","574","7","18","192","6","106","83","23","0","0","0","0","0"
"49","SANTANDER","BUCARAMANGA","2021-04-07T00:00:00.000","abril","2021","miércoles","538","269","807","195","20","535","186","11","300","9","9","235","0","57","41","16","0","0","0","0","0"
"50","SANTANDER","BUCARAMANGA","2021-04-08T00:00:00.000","abril","2021","jueves","224","417","641","119","12","478","112","6","93","7","6","385","0","32","13","19","0","0","0","0","0"
"51","SANTANDER","BUCARAMANGA","2021-04-09T00:00:00.000","abril","2021","viernes","154","549","703","98","44","528","90","4","58","8","40","470","1","33","2","31","0","0","0","0","0"
"52","SANTANDER","BUCARAMANGA","2021-04-10T00:00:00.000","abril","2021","sábado","84","570","654","62","173","385","50","9","22","12","164","363","1","34","3","31","0","0","0","0","0"
"53","SANTANDER","BUCARAMANGA","2021-04-11T00:00:00.000","abril","2021","domingo","31","428","459","33","71","330","24","3","4","9","68","326","0","25","0","25","0","0","0","0","0"
"54","SANTANDER","BUCARAMANGA","2021-04-12T00:00:00.000","abril","2021","lunes","89","565","654","88","134","385","74","10","5","14","124","380","0","47","0","47","0","0","0","0","0"
"55","SANTANDER","BUCARAMANGA","2021-04-13T00:00:00.000","abril","2021","martes","71","325","396","67","98","200","59","3","4","8","95","196","0","31","5","26","0","0","0","0","0"
"56","SANTANDER","BUCARAMANGA","2021-04-14T00:00:00.000","abril","2021","miércoles","45","159","204","38","18","127","34","5","3","4","13","124","0","21","3","18","0","0","0","0","0"
"57","SANTANDER","BUCARAMANGA","2021-04-15T00:00:00.000","abril","2021","jueves","18","91","109","11","14","77","6","5","5","5","9","72","0","7","2","5","0","0","0","0","0"
"58","SANTANDER","BUCARAMANGA","2021-04-16T00:00:00.000","abril","2021","viernes","248","216","464","18","298","120","18","209","2","0","89","118","1","28","19","9","0","0","0","0","0"
"59","SANTANDER","BUCARAMANGA","2021-04-17T00:00:00.000","abril","2021","sábado","1705","774","2479","88","1662","443","71","1432","4","17","230","439","0","286","198","88","0","0","0","0","0"
"60","SANTANDER","BUCARAMANGA","2021-04-18T00:00:00.000","abril","2021","domingo","1966","1545","3511","199","2028","679","140","1480","3","59","548","676","0","605","343","262","0","0","0","0","0"
"61","SANTANDER","BUCARAMANGA","2021-04-19T00:00:00.000","abril","2021","lunes","1748","1706","3454","230","1681","1009","161","1285","3","69","396","1006","0","534","299","235","0","0","0","0","0"
"62","SANTANDER","BUCARAMANGA","2021-04-20T00:00:00.000","abril","2021","martes","2270","1227","3497","180","1877","799","140","1651","6","40","226","793","1","641","473","168","0","0","0","0","0"
"63","SANTANDER","BUCARAMANGA","2021-04-21T00:00:00.000","abril","2021","miércoles","4144","1439","5583","274","3159","1112","236","2991","14","38","168","1098","0","1038","903","135","0","0","0","0","0"
"64","SANTANDER","BUCARAMANGA","2021-04-22T00:00:00.000","abril","2021","jueves","3586","967","4553","255","2720","791","230","2666","11","25","54","780","0","787","679","108","0","0","0","0","0"
"65","SANTANDER","BUCARAMANGA","2021-04-23T00:00:00.000","abril","2021","viernes","2284","1247","3531","184","1740","974","146","1630","4","38","110","970","0","633","504","129","0","0","0","0","0"
"66","SANTANDER","BUCARAMANGA","2021-04-24T00:00:00.000","abril","2021","sábado","2914","613","3527","195","2215","416","176","2140","6","19","75","410","0","701","592","109","0","0","0","0","0"
"67","SANTANDER","BUCARAMANGA","2021-04-25T00:00:00.000","abril","2021","domingo","1730","505","2235","104","1315","329","95","1268","3","9","47","326","1","487","364","123","0","0","0","0","0"
"68","SANTANDER","BUCARAMANGA","2021-04-26T00:00:00.000","abril","2021","lunes","3177","733","3910","205","2461","530","191","2405","4","14","56","526","1","714","577","137","0","0","0","0","0"
"69","SANTANDER","BUCARAMANGA","2021-04-27T00:00:00.000","abril","2021","martes","5267","318","5585","311","3743","261","305","3723","4","6","20","257","0","1270","1235","35","0","0","0","0","0"
"70","SANTANDER","BUCARAMANGA","2021-04-28T00:00:00.000","abril","2021","miércoles","80","110","190","5","50","87","4","48","0","1","2","87","0","48","28","20","0","0","0","0","0"
"71","SANTANDER","BUCARAMANGA","2021-04-29T00:00:00.000","abril","2021","jueves","615","81","696","436","147","68","434","139","1","2","8","67","2","45","41","4","0","0","0","0","0"
"72","SANTANDER","BUCARAMANGA","2021-04-30T00:00:00.000","abril","2021","viernes","2880","19","2899","2149","536","10","2149","530","1","0","6","9","1","204","200","4","0","0","0","0","0"
"73","SANTANDER","BUCARAMANGA","2021-05-01T00:00:00.000","mayo","2021","sábado","2183","332","2515","1867","223","278","1865","212","2","2","11","276","1","147","104","43","0","0","0","0","0"
"74","SANTANDER","BUCARAMANGA","2021-05-02T00:00:00.000","mayo","2021","domingo","1267","1923","3190","1098","196","1443","1061","149","3","37","47","1440","0","453","54","399","1","0","0","0","0"
"75","SANTANDER","BUCARAMANGA","2021-05-03T00:00:00.000","mayo","2021","lunes","2085","3122","5207","2017","153","2369","1910","80","0","107","73","2369","2","668","95","573","0","0","0","0","0"
"76","SANTANDER","BUCARAMANGA","2021-05-04T00:00:00.000","mayo","2021","martes","1872","2541","4413","1808","92","1955","1714","49","2","94","43","1953","3","558","107","451","0","0","0","0","0"
"77","SANTANDER","BUCARAMANGA","2021-05-05T00:00:00.000","mayo","2021","miércoles","1116","1335","2451","1083","64","1036","1037","31","2","46","33","1034","2","268","46","222","1","0","0","0","0"
"78","SANTANDER","BUCARAMANGA","2021-05-06T00:00:00.000","mayo","2021","jueves","1226","1072","2298","1174","65","827","1131","38","0","43","27","827","5","232","57","175","0","0","1","0","0"
"79","SANTANDER","BUCARAMANGA","2021-05-07T00:00:00.000","mayo","2021","viernes","2036","1095","3131","822","1221","720","779","1022","5","43","199","715","0","368","230","138","0","0","0","0","0"
"80","SANTANDER","BUCARAMANGA","2021-05-08T00:00:00.000","mayo","2021","sábado","3494","1024","4518","220","3428","340","188","2857","18","32","571","322","1","530","431","99","0","0","0","0","0"
"81","SANTANDER","BUCARAMANGA","2021-05-09T00:00:00.000","mayo","2021","domingo","1259","736","1995","166","1449","115","137","967","10","29","482","105","0","265","145","120","0","0","0","0","0"
"82","SANTANDER","BUCARAMANGA","2021-05-10T00:00:00.000","mayo","2021","lunes","981","1108","2089","316","1160","397","292","549","59","24","611","338","2","216","81","135","0","0","0","0","0"
"83","SANTANDER","BUCARAMANGA","2021-05-11T00:00:00.000","mayo","2021","martes","811","828","1639","216","614","661","187","232","327","29","382","334","3","148","65","83","0","0","0","0","0"
"84","SANTANDER","BUCARAMANGA","2021-05-12T00:00:00.000","mayo","2021","miércoles","1667","1775","3442","214","1528","1205","134","255","1104","80","1273","101","2","495","174","321","0","0","0","0","0"
"85","SANTANDER","BUCARAMANGA","2021-05-13T00:00:00.000","mayo","2021","jueves","2045","2971","5016","332","2253","1635","165","152","1535","167","2101","100","5","796","193","603","0","0","0","0","0"
"86","SANTANDER","BUCARAMANGA","2021-05-14T00:00:00.000","mayo","2021","viernes","1751","1807","3558","243","1282","1479","139","87","1393","104","1195","86","3","554","132","422","0","0","0","0","0"
"87","SANTANDER","BUCARAMANGA","2021-05-15T00:00:00.000","mayo","2021","sábado","1434","1892","3326","183","2069","555","87","705","525","96","1364","30","2","519","117","402","0","0","0","0","0"
"88","SANTANDER","BUCARAMANGA","2021-05-16T00:00:00.000","mayo","2021","domingo","1885","2462","4347","244","3263","107","87","1516","92","157","1747","15","5","733","190","543","0","0","0","0","0"
"89","SANTANDER","BUCARAMANGA","2021-05-17T00:00:00.000","mayo","2021","lunes","1485","2513","3998","232","3111","32","75","1279","17","157","1832","15","0","623","114","509","0","0","0","0","0"
"90","SANTANDER","BUCARAMANGA","2021-05-18T00:00:00.000","mayo","2021","martes","2246","5506","7752","450","5649","217","128","1808","169","322","3841","48","1","1436","141","1295","0","0","0","0","0"
"91","SANTANDER","BUCARAMANGA","2021-05-19T00:00:00.000","mayo","2021","miércoles","2037","442","2479","152","1763","364","130","1460","315","22","303","49","4","200","132","68","0","0","0","0","0"
"92","SANTANDER","BUCARAMANGA","2021-05-20T00:00:00.000","mayo","2021","jueves","1486","237","1723","150","808","646","143","637","606","7","171","40","5","119","100","19","0","0","0","0","0"
"93","SANTANDER","BUCARAMANGA","2021-05-21T00:00:00.000","mayo","2021","viernes","1648","488","2136","88","1737","139","72","1338","109","16","399","30","5","172","129","43","0","0","1","0","0"
"94","SANTANDER","BUCARAMANGA","2021-05-22T00:00:00.000","mayo","2021","sábado","4347","181","4528","285","3117","400","281","2969","387","4","148","13","2","726","710","16","0","0","0","0","0"
"95","SANTANDER","BUCARAMANGA","2021-05-23T00:00:00.000","mayo","2021","domingo","4046","96","4142","268","1232","2030","266","1157","2028","2","75","2","0","612","595","17","0","0","0","0","0"
"96","SANTANDER","BUCARAMANGA","2021-05-24T00:00:00.000","mayo","2021","lunes","4466","74","4540","263","358","3414","260","312","3399","3","46","15","2","505","495","10","0","0","0","0","0"
"97","SANTANDER","BUCARAMANGA","2021-05-25T00:00:00.000","mayo","2021","martes","4059","46","4105","275","166","3285","272","159","3258","3","7","27","8","379","370","9","0","0","0","0","0"
"98","SANTANDER","BUCARAMANGA","2021-05-26T00:00:00.000","mayo","2021","miércoles","4634","25","4659","291","175","3699","290","166","3690","1","9","9","8","494","488","6","0","0","0","0","0"
"99","SANTANDER","BUCARAMANGA","2021-05-27T00:00:00.000","mayo","2021","jueves","6542","22","6564","423","307","5037","422","301","5025","1","6","12","8","797","794","3","0","0","0","0","0"
"100","SANTANDER","BUCARAMANGA","2021-05-28T00:00:00.000","mayo","2021","viernes","5743","786","6529","380","3116","2291","346","2524","2281","34","592","10","5","742","592","150","0","0","0","0","0"
"101","SANTANDER","BUCARAMANGA","2021-05-29T00:00:00.000","mayo","2021","sábado","8561","2931","11492","500","9655","124","356","7287","121","144","2368","3","5","1213","797","416","0","0","0","0","0"
"102","SANTANDER","BUCARAMANGA","2021-05-30T00:00:00.000","mayo","2021","domingo","4992","1143","6135","291","4893","402","218","3973","401","73","920","1","2","549","400","149","0","0","0","0","0"
"103","SANTANDER","BUCARAMANGA","2021-05-31T00:00:00.000","mayo","2021","lunes","5238","655","5893","363","4090","919","329","3550","915","34","540","4","6","521","444","77","0","0","0","0","0"
"104","SANTANDER","BUCARAMANGA","2021-06-01T00:00:00.000","junio","2021","martes","6140","331","6471","489","4375","1078","465","4104","1073","24","271","5","14","529","498","31","0","0","0","0","0"
"105","SANTANDER","BUCARAMANGA","2021-06-02T00:00:00.000","junio","2021","miércoles","4777","293","5070","307","2990","1402","289","2760","1396","18","230","6","1","371","332","39","0","0","0","0","0"
"106","SANTANDER","BUCARAMANGA","2021-06-03T00:00:00.000","junio","2021","jueves","4984","208","5192","215","4019","600","201","3852","597","14","167","3","7","358","334","24","0","0","0","0","0"
"107","SANTANDER","BUCARAMANGA","2021-06-04T00:00:00.000","junio","2021","viernes","2173","52","2225","84","1635","377","82","1599","370","2","36","7","3","129","122","7","0","0","0","0","0"
"108","SANTANDER","BUCARAMANGA","2021-06-05T00:00:00.000","junio","2021","sábado","2694","523","3217","177","2564","236","154","2131","220","23","433","16","8","240","189","51","0","0","0","0","0"
"109","SANTANDER","BUCARAMANGA","2021-06-06T00:00:00.000","junio","2021","domingo","3410","1644","5054","230","4413","17","150","3038","11","80","1375","6","8","394","211","183","0","0","0","0","0"
"110","SANTANDER","BUCARAMANGA","2021-06-07T00:00:00.000","junio","2021","lunes","2499","1377","3876","169","3405","52","102","2239","20","67","1166","32","5","250","138","112","0","0","0","0","0"
"111","SANTANDER","BUCARAMANGA","2021-06-08T00:00:00.000","junio","2021","martes","3621","1968","5589","271","4581","342","161","3140","86","110","1441","256","7","395","234","161","0","0","0","0","0"
"112","SANTANDER","BUCARAMANGA","2021-06-09T00:00:00.000","junio","2021","miércoles","2016","2370","4386","232","2906","907","78","1774","51","154","1132","856","1","341","113","228","0","0","0","0","0"
"113","SANTANDER","BUCARAMANGA","2021-06-10T00:00:00.000","junio","2021","jueves","2006","2315","4321","285","2333","1380","145","1683","85","140","650","1295","6","323","93","230","0","0","0","0","0"
"114","SANTANDER","BUCARAMANGA","2021-06-11T00:00:00.000","junio","2021","viernes","2975","2870","5845","464","3697","1259","292","2480","32","172","1217","1227","3","425","171","254","0","0","0","1","0"
"115","SANTANDER","BUCARAMANGA","2021-06-12T00:00:00.000","junio","2021","sábado","1926","3745","5671","369","4017","541","121","1684","15","248","2333","526","35","744","106","638","0","1","0","0","0"
"116","SANTANDER","BUCARAMANGA","2021-06-13T00:00:00.000","junio","2021","domingo","670","1534","2204","165","1631","100","68","540","19","97","1091","81","2","308","43","265","0","0","0","0","0"
"117","SANTANDER","BUCARAMANGA","2021-06-14T00:00:00.000","junio","2021","lunes","1107","285","1392","81","1081","131","65","888","97","16","193","34","4","99","57","42","0","0","0","0","0"
"118","SANTANDER","BUCARAMANGA","2021-06-15T00:00:00.000","junio","2021","martes","3347","446","3793","195","3182","222","170","2976","38","25","206","184","5","194","163","31","0","0","0","0","0"
"119","SANTANDER","BUCARAMANGA","2021-06-16T00:00:00.000","junio","2021","miércoles","5833","488","6321","376","5304","298","351","5155","17","25","149","281","2","343","310","33","0","0","0","0","0"
"120","SANTANDER","BUCARAMANGA","2021-06-17T00:00:00.000","junio","2021","jueves","5497","684","6181","324","5084","499","290","4958","26","34","126","473","6","274","223","51","0","0","0","0","0"
"121","SANTANDER","BUCARAMANGA","2021-06-18T00:00:00.000","junio","2021","viernes","4760","2349","7109","363","6131","184","242","4311","44","121","1820","140","4","431","163","268","0","0","0","0","0"
"122","SANTANDER","BUCARAMANGA","2021-06-19T00:00:00.000","junio","2021","sábado","89","501","590","90","200","265","69","13","7","21","187","258","5","35","0","35","0","0","0","0","0"
